lecture_id,campus,building,room_id
C0326,南大沢,AV棟,163
C0327,南大沢,1号,204
C0329,南大沢,1号,103
C0330,南大沢,1号,104
C0331,南大沢,1号,204
C0333,南大沢,1号,103
C0334,南大沢,1号,104
C0335,南大沢,1号,204
C0336,南大沢,1号,205
C0337,南大沢,1号,206
C0338,南大沢,1号,208
C0341,南大沢,1号,202
C0342,南大沢,AV棟,162
C0344,南大沢,1号,103
C0345,南大沢,1号,105
C0347,南大沢,1号,104
C0348,南大沢,1号,209
C0349,南大沢,1号,204
C0350,南大沢,1号,206
C0351,南大沢,1号,205
C0352,南大沢,1号,208
C0355,南大沢,1号,202
C0356,南大沢,AV棟,162
C0359,南大沢,1号,105
C0360,南大沢,1号,303
C0361,南大沢,1号,103
C0362,南大沢,1号,109
C0363,南大沢,1号,104
C0364,南大沢,6号,203
C0365,南大沢,6号,204
C0366,南大沢,6号,305
C0367,南大沢,6号,203
C0368,南大沢,6号,204
C0369,南大沢,6号,305
C0370,南大沢,1号,203
C0371,南大沢,1号,204
C0372,南大沢,1号,205
C0373,南大沢,1号,206
C0374,南大沢,1号,208
C0377,南大沢,1号,303
C0378,南大沢,1号,304
C0379,南大沢,1号,308
C0380,南大沢,1号,103
C0381,南大沢,1号,104
C0382,南大沢,1号,102
C0383,南大沢,1号,105
C0384,南大沢,1号,109
C0385,南大沢,1号,203
C0386,南大沢,1号,209
C0387,南大沢,1号,204
C0388,南大沢,1号,206
C0389,南大沢,1号,208
C0390,南大沢,AV棟,162
C0391,南大沢,1号,102
C0392,南大沢,104,104
C0393,南大沢,1号,103
C0394,南大沢,1号,109
C0395,南大沢,1号,205
C0396,南大沢,1号,303
C0397,南大沢,1号,205
C0398,南大沢,1号,303
C0399,南大沢,1号,202
C0400,南大沢,6号,104
C0401,南大沢,1号,102
C0402,南大沢,6号,202
C0404,南大沢,6号,301
C0405,南大沢,1号,102
C0406,南大沢,1号,102
C0407,南大沢,6号,202
C0408,南大沢,1号,102
C0409,南大沢,1号,102
C0410,南大沢,6号,202
C0411,南大沢,1号,102
C0412,南大沢,1号,206
C0413,南大沢,1号,208
C0414,南大沢,1号,209
C0415,南大沢,1号,304
C0416,南大沢,1号,308
C0419,南大沢,6号,402
C0420,南大沢,1号,203
C0423,南大沢,1号,105
C0424,南大沢,1号,109
C0425,南大沢,1号,104
C0426,南大沢,6号,404
C0427,南大沢,1号,202
C0428,南大沢,1号,208
C0429,南大沢,1号,209
C0430,南大沢,1号,206
C0431,南大沢,1号,308
C0434,南大沢,6号,402
C0435,南大沢,1号,203
C0437,南大沢,1号,105
C0438,南大沢,1号,109
